Konten,Judul video,Waktu publikasi video,Durasi,Penayangan tak dilewati,Rata-rata durasi tonton,Persentase penayangan rata-rata (%),Diviralkan,Poin hype,Subscriber yang diperoleh,Subscriber yang hilang,Suka,Tidak suka,Suka (vs. tidak suka) (%),Pembagian,Komentar ditambahkan,Pendapatan transaksi (IDR),Transaksi,YouTube Premium (IDR),Iklan Halaman Tonton (IDR),Estimasi pendapatan DoubleClick (IDR),Estimasi pendapatan AdSense (IDR),Pendapatan iklan YouTube (IDR),Tayangan iklan,CPM berbasis-pemutaran (IDR),CPM (IDR),Estimasi pemutaran yang dimonetisasi,RPM (IDR),Rubi,Klik produk,Tayangan produk,Total penjualan (IDR),Pesanan,Komisi yang disetujui (IDR),Komisi tertunda (IDR),Komisi yang dihapus (IDR),Penayangan YouTube Premium,Waktu tonton YouTube Premium (jam),Jam streaming,Set pengingat,Pesan chat,Reaksi,Perubahan jumlah subscriber per postingan,Penayangan klip komunitas,Waktu tonton dari klip komunitas (jam),Jumlah klik pada kartu,Kartu ditampilkan,Jumlah klik pada teaser kartu,Teaser kartu ditampilkan,Klik pada elemen layar akhir,Klik per elemen layar akhir yang ditampilkan (%),Elemen layar akhir yang ditampilkan,Penayangan,Waktu tonton (jam),Subscriber,Estimasi pendapatan (IDR),Tayangan,Rasio klik-tayang dari tayangan (%),avg_watch_seconds,durasi_detik,published_at,like_rate,comment_rate,share_rate,dislike_ratio,engagement_rate,watch_time_ratio,revenue_per_view,subscriber_net,subscriber_net_per_view,ctr,impression_to_view_rate,upload_hour,upload_day,upload_day_name,upload_month,upload_year,video_age_days,duration_bucket,title_length,title_words,sensational_count,has_symbol,caps_ratio,topic_cluster,topic_score,entity_count,avg_watch_minutes,perf_score,performance_class
KAqnuJ0W8Jo,NEGARA ARAB & MALAYSIA TERDIAM MELIHAT INDONESIA BERI BANTUAN KE PALESTINA TEROBOS LANGIT ISRAEL,"Aug 23, 2025",740.0,915959.0,0:04:55,39.94,0.0,0.0,5516.0,138.0,13544.0,184.0,98.66,2284.0,1840.0,0.0,0.0,137839.843,4058011.659,0.0,4058011.659,7378203.319,832574.0,11672.969,8861.919,632076.0,4580.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12034.0,1067.8984,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,4.56,1622.0,915959.0,75207.6938,5378.0,4195851.502,5722428.0,11.54,295.0,740.0,2025-08-23,0.014786688050447673,0.00200882353904487,0.0024935613930317842,0.013403263403263404,0.019289072982524327,0.39864864864864863,4.580828947583899,5378.0,0.005871441844012669,0.11539999999999999,0.16006474873952106,0,5,Saturday,8,2025,236,panjang (7-15 mnt),96,14,1,0,1.0,israel_palestina,2,3,4.916666666666667,4503465.083333334,viral
a5VBaiz4yS0,"INDONESIA BIKIN ISRAEL NGAMUK‼ SAAT ARAB TAKUT DENGAN AMERIKA, TNI BERANI TEROBOS LANGIT GAZA","Aug 24, 2025",649.0,319187.0,0:03:59,36.89,0.0,0.0,820.0,30.0,3033.0,43.0,98.6,287.0,435.0,0.0,0.0,45200.91,1006901.196,0.0,1006901.196,1830729.431,209284.0,11520.833,8747.584,158906.0,3296.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4932.0,357.6141,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,319187.0,21226.0991,790.0,1052102.106,1487638.0,14.3,239.0,649.0,2025-08-24,0.009502266696325352,0.0013628374589190661,0.0008991594269190162,0.013979193758127438,0.011764263582163434,0.3682588597842835,3.2961934727918116,790.0,0.0024750381437840512,0.14300000000000002,0.21455959043799633,0,6,Sunday,8,2025,235,panjang (7-15 mnt),93,14,3,1,1.0,israel_palestina,2,4,3.9833333333333334,1271428.2166666668,viral
PNIbEl5676s,"MALAYSIA KENA ""CERAMAH"" WARGANYA SENDIRI: JANGAN HINA INDONESIA!","Dec 23, 2025",712.0,286864.0,0:04:56,41.59,0.0,0.0,511.0,63.0,3433.0,48.0,98.62,137.0,1498.0,0.0,0.0,21277.475,984382.816,0.0,984382.816,1789786.942,215690.0,10451.677,8297.96,171244.0,3505.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047.0,162.2907,0.2311,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,286864.0,23598.9868,448.0,1005660.291,1520223.0,15.91,296.0,712.0,2025-12-23,0.011967343410117686,0.005221986725416922,0.00047757822522170786,0.013789141051422005,0.017666908360756316,0.4157303370786517,3.5057040653410674,448.0,0.0015617156561994535,0.1591,0.18869863171389986,0,1,Tuesday,12,2025,114,panjang (7-15 mnt),64,8,0,0,1.0,malaysia,1,1,4.933333333333334,1415195.7333333334,viral
jj4tR1MXgGM,"GILA KEBERANIAN INDONESIA BIKIN NETANYAHU PANIK, 20 RIBU PASUKAN BERANGKAT KE PALESTINA","Sep 26, 2025",752.0,280836.0,0:04:26,35.43,0.0,0.0,950.0,57.0,3076.0,51.0,98.37,214.0,505.0,0.0,5.0,5172.974,858249.023,0.0,858249.023,1560452.976,255225.0,7205.871,6114.029,216553.0,3100.75,0.0,357.0,5021.0,145147.324,3.0,7367.684,7379.98,0.0,709.0,53.0523,0.2489,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,280836.0,20782.7624,893.0,870801.977,2217564.0,11.43,266.0,752.0,2025-09-26,0.010953011722143885,0.00179820250964976,0.0007620105684456408,0.016309561880396548,0.013513224800239285,0.3537234042553192,3.100749109800738,893.0,0.0031797917645885855,0.1143,0.1266416662608159,0,4,Friday,9,2025,202,panjang (7-15 mnt),87,12,3,0,1.0,israel_palestina,1,2,4.433333333333334,1245039.6,viral
Sj1GSN-q5N8,"NETANYAHU NGAMUK‼ ANCAM PERANGI INDONESIA, MALAYSIA & PAKISTAN HINGGA BUAT DUNIA GEMPAR‼","Aug 26, 2025",900.0,272539.0,0:04:16,28.49,0.0,0.0,1213.0,32.0,2448.0,222.0,91.69,1046.0,2410.0,0.0,2.0,16682.465,1177888.704,0.0,1177888.704,2141615.555,266076.0,9527.226,8048.887,224789.0,4402.054,0.0,73.0,2074.0,95555.554,1.0,6473.214,5159.996,0.0,1859.0,127.6157,,0.0,,,0.0,4.0,0.0538,0.0,0.0,0.0,0.0,645.0,2.58,25029.0,272539.0,19411.1156,1181.0,1199731.166,2000654.0,11.99,256.0,900.0,2025-08-26,0.00898220071255857,0.008842771126334213,0.0038379828208072973,0.08314606741573034,0.02166295465970008,0.28444444444444444,4.402053159364348,1181.0,0.004333324771867512,0.1199,0.13622495443989815,0,1,Tuesday,8,2025,233,sangat panjang (>15 mnt),88,12,3,1,1.0,malaysia,1,1,4.266666666666667,1162833.0666666667,viral
f60c_M2t2zs,"HEBOH‼ MALAYSIA TANTANG PRABOWO, TAPI BALASANNYA BIKIN NEGERI JIRAN KETAR-KETIR","Oct 5, 2025",639.0,234153.0,0:04:21,40.92,0.0,0.0,381.0,32.0,2044.0,45.0,97.85,63.0,678.0,0.0,0.0,17860.968,752296.019,0.0,752296.019,1367810.935,201249.0,8143.089,6796.61,167972.0,3289.119,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1997.0,139.3929,0.2162,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,234153.0,17007.7656,349.0,770156.987,1666190.0,12.17,261.0,639.0,2025-10-05,0.00872933509286663,0.002895542658005663,0.00026905484875273857,0.0215414073719483,0.011893932599625031,0.4084507042253521,3.289118597669045,349.0,0.0014904784478524725,0.1217,0.14053199214975484,0,6,Sunday,10,2025,193,panjang (7-15 mnt),79,10,1,1,1.0,malaysia,2,4,4.35,1018565.5499999999,viral
9Oc_Ji8gAbc,"LAPINDO JADI LAUTAN EMAS‼ AMERIKA & EROPA NGILER LIHAT MINERAL LTJ RI MELIMPAH, DUNIA HEBOH","Sep 1, 2025",626.0,222453.0,0:03:06,29.8,0.0,0.0,733.0,39.0,2348.0,33.0,98.61,1271.0,673.0,0.0,0.0,27345.517,913675.81,0.0,913675.81,1661228.519,185814.0,10740.609,8940.276,154668.0,4230.203,0.0,134.0,2334.0,0.0,0.0,0.0,0.0,0.0,3536.0,193.9746,0.2092,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,222453.0,11526.9909,694.0,941021.327,1352585.0,13.58,186.0,626.0,2025-09-01,0.01055503859242177,0.0030253581655450812,0.005713566461230012,0.01385972280554389,0.019293963219196863,0.2971246006389776,4.230202905782345,694.0,0.0031197601291059235,0.1358,0.16446507982862446,0,0,Monday,9,2025,227,panjang (7-15 mnt),91,15,1,1,1.0,amerika_barat,2,3,3.1,689604.3,sangat_bagus
Bjxo1FSbD3Q,"GEMPAR‼ MALAYSIA PANIK‼ PRABOWO TEGAS MINTA INGGRIS HENTIKAN INTERVENSI, SINGAPURA KETAR-KETIR","Oct 4, 2025",764.0,204148.0,0:05:12,40.88,0.0,0.0,383.0,53.0,2345.0,51.0,97.87,151.0,666.0,0.0,0.0,16085.309,763141.296,0.0,763141.296,1387528.888,187315.0,9218.297,7407.463,150519.0,3816.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.0,129.4889,0.251,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,204148.0,17709.1745,330.0,779226.605,1553948.0,11.4,312.0,764.0,2025-10-04,0.01148676450418324,0.003262339087328801,0.000739659462742716,0.021285475792988316,0.015488763054254756,0.4083769633507853,3.816969086153183,330.0,0.0016164743225503067,0.114,0.13137376540270332,0,5,Saturday,10,2025,194,panjang (7-15 mnt),94,11,2,1,1.0,malaysia,1,3,5.2,1061569.6,viral
MdQ0p1BIveY,GEMPAR‼ PRABOWO BAWA PULANG PUSAKA BANGSA SETELAH 175 TAHUN DI RAMPAS BELANDA,"Sep 30, 2025",682.0,191662.0,0:04:21,38.29,24.0,2160.0,713.0,63.0,2642.0,34.0,98.73,904.0,587.0,0.0,0.0,7055.109,616626.384,0.0,616626.384,1121139.046,163048.0,7909.159,6876.129,141752.0,3254.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,914.0,62.9788,0.226,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,191662.0,13902.6661,650.0,623681.493,1872214.0,8.78,261.0,682.0,2025-09-30,0.013784683453162338,0.0030626832653316777,0.004716636578977575,0.012705530642750373,0.02156400329747159,0.38269794721407624,3.2540696277822416,650.0,0.0033913869207250263,0.08779999999999999,0.10237184424430114,0,1,Tuesday,9,2025,198,panjang (7-15 mnt),77,12,1,1,1.0,amerika_barat,2,3,4.35,833729.7,viral
YeFiWX5TypA,"BANGGA‼ RIBUAN BUS CANGGIH RI SERBU BANGLADESH, MALAYSIA KAGET KOK BISA⁉","Nov 3, 2025",540.0,180861.0,0:03:50,42.78,8.0,720.0,241.0,27.0,1725.0,36.0,97.96,66.0,218.0,0.0,0.0,17312.199,601487.052,0.0,601487.052,1093612.6,134577.0,9493.495,8126.296,115196.0,3421.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.0,129.9046,0.1832,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,180861.0,11604.9927,214.0,618799.251,1227363.0,12.47,230.0,540.0,2025-11-03,0.00953771128103903,0.0012053455416037731,0.0003649211272745368,0.020442930153321975,0.011107977949917339,0.42592592592592593,3.421407882296349,214.0,0.0011832291096477406,0.1247,0.14735738326803072,0,0,Monday,11,2025,164,panjang (7-15 mnt),72,11,1,1,1.0,malaysia,1,1,3.8333333333333335,693300.5,sangat_bagus
