Konten,Judul video,Waktu publikasi video,Durasi,Penayangan tak dilewati,Rata-rata durasi tonton,Persentase penayangan rata-rata (%),Tetap menonton (%),Penonton unik,Penayangan rata-rata per penonton,Penonton baru,Penonton yang kembali,Penonton biasa,Penonton reguler,Diviralkan,Poin hype,Subscriber yang diperoleh,Subscriber yang hilang,Suka,Tidak suka,Suka (vs. tidak suka) (%),Pembagian,Komentar ditambahkan,Pendapatan transaksi (IDR),Transaksi,Pendapatan per transaksi (IDR),YouTube Premium (IDR),Iklan Halaman Tonton (IDR),Estimasi pendapatan DoubleClick (IDR),Estimasi pendapatan AdSense (IDR),Pendapatan iklan YouTube (IDR),Tayangan iklan,CPM berbasis-pemutaran (IDR),CPM (IDR),Estimasi pemutaran yang dimonetisasi,RPM (IDR),Rubi,Klik produk,Tayangan produk,Total penjualan (IDR),Pesanan,Komisi yang disetujui (IDR),Komisi tertunda (IDR),Komisi yang dihapus (IDR),Penayangan YouTube Premium,Waktu tonton YouTube Premium (jam),Waktu tonton playlist (jam),Penayangan dari playlist,Tayangan per playlist dimulai,Jam streaming,Set pengingat,Pesan chat,Reaksi,Perubahan jumlah subscriber per postingan,Jumlah remix,Penayangan remix,Penayangan klip komunitas,Waktu tonton dari klip komunitas (jam),Jumlah klik pada kartu,Klik per kartu yang ditampilkan (%),Kartu ditampilkan,Jumlah klik pada teaser kartu,Teaser kartu ditampilkan,Klik teaser per teaser kartu yang ditampilkan (%),Klik pada elemen layar akhir,Klik per elemen layar akhir yang ditampilkan (%),Elemen layar akhir yang ditampilkan,Penayangan,Waktu tonton (jam),Subscriber,Estimasi pendapatan (IDR),Tayangan,Rasio klik-tayang dari tayangan (%)
Total,,,,19920894.0,0:04:01,37.47,80.43,0.0,0.0,0.0,0.0,0.0,0.0,280.0,23980.0,39422.0,8485.0,260795.0,6042.0,97.74,24871.0,95538.0,34108.879,161.0,211.856,1537888.836,71226677.325,0.0,71226677.325,129647654.887,16426524.0,9434.596,7892.58,13741728.0,3698.829,0.0,8145.0,533792.0,12194199.263,126.0,1000721.472,544868.478,-28819.168,174483.0,11741.5066,33.7912,635.0,1.7024,125.9619,4793.0,192.0,750.0,49.0,17.0,10950.0,4.0,0.0538,6.0,1.22,493.0,40.0,11354.0,0.35,36786.0,2.09,1757819.0,20166890.0,1336489.1287,30937.0,73682866.49,126067471.0,13.08
KAqnuJ0W8Jo,NEGARA ARAB & MALAYSIA TERDIAM MELIHAT INDONESIA BERI BANTUAN KE PALESTINA TEROBOS LANGIT ISRAEL,"Aug 23, 2025",740.0,915959.0,0:04:55,39.94,,,,,,,,0.0,0.0,5516.0,138.0,13544.0,184.0,98.66,2284.0,1840.0,0.0,0.0,,137839.843,4058011.659,0.0,4058011.659,7378203.319,832574.0,11672.969,8861.919,632076.0,4580.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12034.0,1067.8984,,,,,0.0,,,0.0,3.0,1961.0,0.0,0.0,0.0,,0.0,0.0,0.0,,74.0,4.56,1622.0,915959.0,75207.6938,5378.0,4195851.502,5722428.0,11.54
a5VBaiz4yS0,"INDONESIA BIKIN ISRAEL NGAMUK‼ SAAT ARAB TAKUT DENGAN AMERIKA, TNI BERANI TEROBOS LANGIT GAZA","Aug 24, 2025",649.0,319187.0,0:03:59,36.89,,,,,,,,0.0,0.0,820.0,30.0,3033.0,43.0,98.6,287.0,435.0,0.0,0.0,,45200.91,1006901.196,0.0,1006901.196,1830729.431,209284.0,11520.833,8747.584,158906.0,3296.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4932.0,357.6141,,,,,0.0,,,0.0,,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,319187.0,21226.0991,790.0,1052102.106,1487638.0,14.3
PNIbEl5676s,"MALAYSIA KENA ""CERAMAH"" WARGANYA SENDIRI: JANGAN HINA INDONESIA!","Dec 23, 2025",712.0,286864.0,0:04:56,41.59,,,,,,,,0.0,0.0,511.0,63.0,3433.0,48.0,98.62,137.0,1498.0,0.0,0.0,,21277.475,984382.816,0.0,984382.816,1789786.942,215690.0,10451.677,8297.96,171244.0,3505.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047.0,162.2907,0.216,3.0,1.0,0.2311,13.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,286864.0,23598.9868,448.0,1005660.291,1520223.0,15.91
jj4tR1MXgGM,"GILA KEBERANIAN INDONESIA BIKIN NETANYAHU PANIK, 20 RIBU PASUKAN BERANGKAT KE PALESTINA","Sep 26, 2025",752.0,280836.0,0:04:26,35.43,,,,,,,,0.0,0.0,950.0,57.0,3076.0,51.0,98.37,214.0,505.0,0.0,5.0,0.0,5172.974,858249.023,0.0,858249.023,1560452.976,255225.0,7205.871,6114.029,216553.0,3100.75,0.0,357.0,5021.0,145147.324,3.0,7367.684,7379.98,0.0,709.0,53.0523,,,,0.2489,14.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,280836.0,20782.7624,893.0,870801.977,2217564.0,11.43
Sj1GSN-q5N8,"NETANYAHU NGAMUK‼ ANCAM PERANGI INDONESIA, MALAYSIA & PAKISTAN HINGGA BUAT DUNIA GEMPAR‼","Aug 26, 2025",900.0,272539.0,0:04:16,28.49,,,,,,,,0.0,0.0,1213.0,32.0,2448.0,222.0,91.69,1046.0,2410.0,0.0,2.0,0.0,16682.465,1177888.704,0.0,1177888.704,2141615.555,266076.0,9527.226,8048.887,224789.0,4402.054,0.0,73.0,2074.0,95555.554,1.0,6473.214,5159.996,0.0,1859.0,127.6157,,,,,0.0,,,0.0,,,4.0,0.0538,0.0,,0.0,0.0,0.0,,645.0,2.58,25029.0,272539.0,19411.1156,1181.0,1199731.166,2000654.0,11.99
f60c_M2t2zs,"HEBOH‼ MALAYSIA TANTANG PRABOWO, TAPI BALASANNYA BIKIN NEGERI JIRAN KETAR-KETIR","Oct 5, 2025",639.0,234153.0,0:04:21,40.92,,,,,,,,0.0,0.0,381.0,32.0,2044.0,45.0,97.85,63.0,678.0,0.0,0.0,,17860.968,752296.019,0.0,752296.019,1367810.935,201249.0,8143.089,6796.61,167972.0,3289.119,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1997.0,139.3929,,,,0.2162,16.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,234153.0,17007.7656,349.0,770156.987,1666190.0,12.17
9Oc_Ji8gAbc,"LAPINDO JADI LAUTAN EMAS‼ AMERIKA & EROPA NGILER LIHAT MINERAL LTJ RI MELIMPAH, DUNIA HEBOH","Sep 1, 2025",626.0,222453.0,0:03:06,29.8,,,,,,,,0.0,0.0,733.0,39.0,2348.0,33.0,98.61,1271.0,673.0,0.0,0.0,,27345.517,913675.81,0.0,913675.81,1661228.519,185814.0,10740.609,8940.276,154668.0,4230.203,0.0,134.0,2334.0,0.0,0.0,0.0,0.0,0.0,3536.0,193.9746,,,,0.2092,16.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,222453.0,11526.9909,694.0,941021.327,1352585.0,13.58
Bjxo1FSbD3Q,"GEMPAR‼ MALAYSIA PANIK‼ PRABOWO TEGAS MINTA INGGRIS HENTIKAN INTERVENSI, SINGAPURA KETAR-KETIR","Oct 4, 2025",764.0,204148.0,0:05:12,40.88,,,,,,,,0.0,0.0,383.0,53.0,2345.0,51.0,97.87,151.0,666.0,0.0,0.0,,16085.309,763141.296,0.0,763141.296,1387528.888,187315.0,9218.297,7407.463,150519.0,3816.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.0,129.4889,,,,0.251,12.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,204148.0,17709.1745,330.0,779226.605,1553948.0,11.4
MdQ0p1BIveY,GEMPAR‼ PRABOWO BAWA PULANG PUSAKA BANGSA SETELAH 175 TAHUN DI RAMPAS BELANDA,"Sep 30, 2025",682.0,191662.0,0:04:21,38.29,,,,,,,,24.0,2160.0,713.0,63.0,2642.0,34.0,98.73,904.0,587.0,0.0,0.0,,7055.109,616626.384,0.0,616626.384,1121139.046,163048.0,7909.159,6876.129,141752.0,3254.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,914.0,62.9788,,,,0.226,15.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,191662.0,13902.6661,650.0,623681.493,1872214.0,8.78
